,Titulo de tesis,resumen,palabras clave,mencion
120,Análisis y diseño de una plataforma de inteligencia de negocios para ladivisión de control de estudios de la facultad de CienciasUCV,El presente Trabajo Especial de Grado (TEG) consiste en el análisis ydiseño de una plataforma de inteligencia de negocios para la División deControl de Estudios (DCE) de la Facultad de Ciencias de la UniversidadCentral de Venezuela (UCV)  que automatice la generación del informesemestral de las métricas de la DCE  así como también el análisis de lasdiferentes métricas de la facultad  ya que actualmente dicho procesorequiere de mucho trabajo  desperdiciando muchos recursos invertidos pararealizar estas tareas El objetivo de esta aplicación es aprovechar lasventajas del Proceso Analítico en Línea ( On Line Analytical processing OLAP) que a diferencia del Procesamiento Transaccional en Línea (On LineTransaction processing  OLTP)  OLAP es una tecnología diseñada paramantener específicamente el análisis y acceso a datos  proporcionando unabase técnica para análisis y cálculos requeridos por Aplicaciones deInteligencia de Negocio  ayudando así a las autoridades a tomar lasdecisiones apropiadas para aumentar el desempeño de la facultad Esteproceso conducirá a ahorro de tiempo  dinero y esfuerzo por parte de laDivisión de Control de Estudios aumentando la satisfacción de lasautoridades  ya que se les proporcionará un mecanismo usable para elmonitoreo de las principales métricas de la facultad basados en el tipo deestudiante (regular  repitientes)  vía de ingreso a la facultad (GNU(Consejo Nacional de Universidades)  Prueba Interna (PI)  Cursos deInducción (CI)  Convenios  Traslados  equivalencia  reválidas y egresados(TER)  Samuel Robinson (SR)  cambio de escuela (RES 158)  OTROS) einstitución de procedencia (Pública o Privada) Para alcanzar dichoobjetivo se utilizó un método de desarrollo para plataformas deinteligencia de negocios denominada Roadmap detallando las fases deAnálisis  Diseño y Construcción   obteniendo como resultado una aplicaciónWEB basada en una tecnología Open Source la cual permite la adaptación dela plataforma de inteligencia de negocios denominada PENTAHO  a estecontexto académico para agilizar el proceso de la generación de métricas aportando importantes beneficios en cuanto a costo  seguridad concurrencia  accesibilidad  entre otros aspectos,Pentaho  Inteligencia de Negocios  Datawarehouse  Análisis  Métricas  OLAP(On Line Analytical processing) y Método ROADMAP,TRABAJO ESPECIAL DE GRADO (SISTEMAS DE INFORMACION)
121,Evaluación de técnicas de creación y mantenimiento de bases de casos paraun sistema de razonamiento basado en casos,El Sistema ANALISE  es un Sistema Multiagente  cuya finalidad es apoyar alos profesionales en el diagnóstico de la calidad del semen humano mediante la emulación de los procesos que éstos realizan En particular dicha finalidad es llevada acabo por el Agente de Clasificación (AC) delSistema el cual dependerá del conjunto de prototipos base que constituyenla BC ya que esta debe exhibir características tales como capacidad eficacia y tamaño adecuado En este trabajo especial de grado  se presentael desarrollo de una aplicación cuyas funcionalidades son: Crear la Base deCasos Inicial del Clasificador Híbrido del AC  utilizando técnicas deedición y condensado  y el mantenimiento de la BC del mismo  combinandodiferentes técnicas de mantenimiento Se decidió utilizar Las técnicas deedición y condensado para la creación de la Base de Casos Inicial  ya queestas se caracterizan en evitar el solapamiento entre clases y por obteneragrupamientos compactos que garanticen mantener la eficacia delclasificador Finalmente se pudo observar al realizar el proceso de edicióny condensado sobre la BC cruda se pudo notar que en aquellas clases conpoca representación  el rendimiento de acierto de éstas decrece  razón porla cual se decidió considerar solamente aquellas clases que tuviesen de 12a mas prototipos  obteniéndose como resultado un conjunto con 28 de las 45clases Al realizar dicha reducción de clases se obtuvo una mejoraconsiderable en todas las técnicas aplicadas El mantenimiento de la BC delClasificador Híbrido del Agente Clasificador se llevó a cabo utilizando dostécnicas: Borrado por Frecuencia y la técnica basada en el concepto deInconsistencia y Redundancia de casos,Análisis de Semen Humano  Razonamiento Basado en Casos  RazonamientoBasado en Reglas  Mantenimiento y Creación,TRABAJO ESPECIAL DE GRADO (INTELIGENCIA ARTIFICIAL)
122,Desarrollo de una aplicación web para la gestión de procesos de negocio deuna empresa de publicidad,En el presente Trabajo Especial de Grado (TEG) se desarrolla un sistema deinformación que facilita las operaciones de una empresa de publicidad haciendo uso de interfaces de usuario sencillas  para incorporar aspectosrelacionados con el control de flujo de trabajos en una base de datos demanera centralizada Estos procesos son llevados a cabo por los usuarios deacuerdo a la función que realizan dentro del negocio  y no necesariamentedeben ser expertos en tecnologías de computación en lo que respecta a basede datos El objetivo principal de este trabajo es elaborar un prototipo deaplicación en ambiente Web basada en flujos de trabajo dinámicos para lagestión de los procesos de negocio de la empresa de publicidad Molliex &Molliex CA  con el propósito de mejorar los tiempos de respuesta  loscontroles operativos y las operaciones administrativas de la empresa Laaplicación fue construida bajo un método ágil de desarrollo de softwareconocido como Programación Extrema o Extreme Programing  XP Se emplea elpatrón Modelo Vista Controlador (MVC) Este constituye un patrón deingeniería de software que separa los datos de una aplicación  la interfazde usuario  y la lógica de control en tres componentes distintos MVC seaplica frecuentemente en aplicaciones Web  donde la Vista es la página HTMLy el código embebido que provee de datos dinámicos a la página  elControlador es el que permite la comunicación entre la Base de Datos y lainterfaz del usuario  y el Modelo es la capa que se correspondedirectamente con el modelo de datos,Workflow  Trabajo Colaborativo  Servicios Publicitarios  Control del Flujode Trabajo  Aplicaciones con Tecnología Internet  Sistemas de Información Bases de Datos Relaciónales,TRABAJO ESPECIAL DE GRADO (SISTEMAS DE INFORMACION)
123,Una Aplicación de Seguridad para el Laboratorio Ícaro basada en cámarasinalámbricas  usando el estándar H323  Fase lado del Servidor,Debido a la revolución de las redes inalámbricas  las tecnologías detransmisión de datos multimedia y a la necesidad de brindar seguridad  sedefinió un trabajo de investigación que permitiera explotar las áreas antesmencionadas Dicho trabajo de investigación tendrá el objeto de diseñar ydesarrollar una aplicación de seguridad  que permita a los usuariosdesplegar el video y audio capturado  ofreciendo un sistema automatizado demonitoreo Para el diseño de la aplicación se usó una estructura en capaspara el servidor de audio/video involucrado  de tal modo que ofrezcaflexibilidad para la expansión y modificación La implementación de laaplicación está basada en OpenH323 y PWLib  brindando de esta manera lasbondades del estándar H323 y un soporte multiplataforma  respectivamenteAdemás de esto  todo el desarrollo se realizó utilizando una plataforma decódigo abierto (Fedora Core 2  C/C++  Mpeg_encode  MySQL  Anjuta) Laaplicación se probó utilizando una plataforma de red inalámbrica  enconjunto con software de medición de rendimiento Los resultados de laspruebas fueron recopilados y documentados  para brindar observaciones yrecomendaciones sobre desempeño  recursos necesarios  etc,,TRABAJO ESPECIAL DE GRADO (TECNOLOGIAS EN COMUNICACIONES Y REDES DECOMPUTADORAS)
124,Desarrollo de Nuevos Servicios Móviles de Bibliotecas Digitales Basados enAgentes  para la Biblioteca Alonso Gamero,El rápido avance de la tecnología  ha originado la proliferación defuentes de información digital  los sistemas de cómputo y la inesperadavelocidad de expansión de las redes de computadoras han facilitado elprocesamiento  la distribución y la explotación de este tipo deinformación Día a día  las actividades de la información se involucran máscon la tecnología  y el intercambio de información se ha convertido en unanecesidad primaria de muchos sectores La facilidad con que ahora se tieneacceso a las redes de computadoras y el fuerte impulso que le dio el WWW aInternet  han sido las principales causas de está enorme avalancha deinformación digital  utilizada por los usuarios que demandan tantoalmacenamiento como recuperación Esta evolución informática ha provocadouna revolución en los conceptos tradicionales que se tenían de libros bibliotecas  investigación y aprendizaje No es difícil imaginarse que enun futuro toda la información será procesada y adquirida a través de medioselectrónicos El libro tradicional  será complementado por algunatecnología que permita al lector un mejor aprendizaje  o simplemente  unalectura más amena Un ejemplo es realizar búsquedas información multimediaDe está manera  surgen las bibliotecas digitales  estás nacen por la grandiversidad de nuevos medios existentes para almacenar y mostrar informaciónque conjuntamente con el desarrollo de nuevas tecnologías de servicios sehan fusionado para prestar nuevos servicios de biblioteca  que entre otrasventajas tendrá el acceso permanente y de forma remota a la misma  con sóloconectarse desde cualquier parte del mundo se puede acceder a cualquierbiblioteca digital existente y utilizar los servicios allí prestados Lasbúsquedas ya no sólo serán en libros o revistas digitales  sino tambiénpodrán ser realizadas en bancos de datos  video  audio  entre otros  connuevas estructuras de datos que incluyen información  asociada a los datos(metadatos) De igual manera  con la evolución de las redes nacen nuevosconceptos como lo son la computación móvil donde un usuario con undispositivo móvil puede conectarse a la red sin importar su ubicaciónAdemás de esto surge lo que se conoce como computación ubicua  en donde losusuarios pueden disponer de un recurso de la red  sin tener que pensar quees un recurso que se encuentra en una ubicación distinta a la de ellos Eltérmino agente  en este caso los Agentes Móviles tienen la capacidad demovilizarse por la red en busca de información o de ejecutar una tarea  lobueno de estos agentes móviles que pueden ejecutarse en un sitio remotodisminuyendo la carga de procesamiento de su localidad inicial y ademáspueden desconectarse totalmente de su localidad que inicio el proceso yvolver a él cuando haya terminado de ejecutar el proceso  en la localidadremota,,TRABAJO ESPECIAL DE GRADO (TECNOLOGIAS EN COMUNICACIONES Y REDES DECOMPUTADORAS)
125,Construcción de un Middleware de Aplicación que Permita la Interconexiónde Dispositivos Fijos y Móviles  por Medio de Servicios Web  en una Red deComunicaciones,Una red informática  en su concepto más básico  se refiere a un conjuntode computadores o de equipos informáticos conectados entre sí con lafinalidad de compartir información y recursos  Bajo esta concepción comienza una revolución en el área de las telecomunicaciones que traeconsigo una gran variedad de nuevos conceptos y que avanza cada vez másrápido en un ambiente con usuarios cada vez más exigente Gracias a esto cobran mayor relevancia las redes inalámbricas  las cuales permiten a losusuarios acceder a información y recursos  sin necesidad de estarfísicamente en un sólo lugar   y  por otra parte  elimina la necesidad deusar cables De la mano a este carácter heterogéneo de las redes actualesse van desarrollando tecnologías que integran de forma transparente  paralos usuarios de la red  la gran variedad de dispositivos  que en un momentodeterminado soliciten los servicios prestado por esta Lo que permiteaumentar la flexibilidad de la red y la comodidad de los usuarios  al poderintegrar distintas tecnologías a través de un nuevo concepto: MiddlewareEs por ello que este trabajo de investigación  se basa en el análisis diseño y desarrollo de un middleware que permita a distintos dispositivos(fijos o móviles) acceder a un sistema para el Centro de Computación de laFacultad de Ciencias que permite la gestión del servicio de soporte técnicoprestado por este centro  utilizando un conjunto de servicios ubicados enla red Este middleware puede clasificarse como un  middleware deaplicación orientado a mensajes  donde un proceso cliente solicita unservicio y envía a un proceso servidor  un mensaje que contiene unapetición del servicio El proceso servidor satisface la petición y envía unmensaje de respuesta Soportando sus actividades en dos componentesfundamentales: Lógica del negocio: Encargada de recibir las solicitudes delos clientes  tomar las decisiones necesarias para resolver elrequerimiento y retornar la repuesta adaptada a las limitaciones quepresenten cada uno de los dispositivos que realiza las peticiones Elcontrolador: conjunto de servicios independientes encargados de resolvertareas particulares Por otro lado el sistema construido para interactuarcon el middleware gestiona a través de tres módulos fundamentales lassolicitudes de soporte técnico realizadas al Centro de Computación Acontinuación se describen brevemente cada uno de los módulos: Nuevasolicitud: permite a las personas que trabajan en cualquiera de losdepartamentos de la Facultad de Ciencias realizar una solicitud de soportetécnico Manejo de Solicitudes: Este módulo permite a un conjunto depersonas autorizadas a listar  asignar  modificar  reasignar y cerrarsolicitudes que se hayan realizado a través del sistema Estadísticas:Permite clasificar la información de los soportes atendidos en el Centro deComputación según un conjunto de parámetros de búsqueda Con la finalidadde realizar estudios sobre la información histórica que se mantiene,,TRABAJO ESPECIAL DE GRADO (TECNOLOGIAS EN COMUNICACIONES Y REDES DECOMPUTADORAS)
126,Desarrollo de un Sistema de Gestión de Asignación de Computadorasutilizando la Tecnología del Carnet Universitario Inteligente,El Carnet Universitario Inteligente aportado por el Programa Universidadespatrocinado por el Banco de Venezuela/Grupo Santander a la Facultad deCiencias de la Universidad Central de Venezuela integra tres tecnologías depunta que son el código de barras  banda magnética y chip inteligente Elcódigo de barras es el conjunto de líneas de diferentes grosor separadaspor espacios en blanco  la banda magnética es la banda negra ubicada en laparte posterior del carnet y que comúnmente se utilizan en las tarjetas decrédito  y por último la de chip inteligente que posee un microprocesador ysoporta mayor cantidad de datos que las anteriores Esta última tecnologíade tarjeta inteligente puede emplearse para mejorar ó crear nuevosservicios en beneficios de una institución En la Universidad Central deVenezuela nace la necesidad de crear un sistema de gestión de asignación decomputadoras que explote esta tecnología y que sirva para prestar un mejorservicio en la Sala de Micros de la Facultad de Ciencias  en vista de losrequerimientos de los usuarios  en la etapa de análisis se identificaronlas funcionalidades que caracterizan el sistema global  en la de diseño seesquematizaron las partes del sistema para luego integrarlas eimplementarlas  convirtiéndolas en el sistema final Este nuevo sistemasometido a prueba arroja resultados satisfactorios Por lo tanto  pretendesustituir el actualmente implementado en la Sala de Micros para asignarcomputadoras a los usuarios que solicitan el servicio,,TRABAJO ESPECIAL DE GRADO (TECNOLOGIAS EN COMUNICACIONES Y REDES DECOMPUTADORAS)
127,Evaluación Experimental del Desempeño del Video Bajo Demanda MPEG4 enRedes Bluetooth,Las Redes Inalámbricas de Area Local (WLANs  Wireless Local Area Network)en principio surgieron como extensión a las redes cableadas tradicionalesSu objetivo principal era complementar las redes cableadas existentes sobre todo en ambientes donde resulta difícil o muy costoso reestructuraruna red cableada  por factores como el costo  dificultad de acceso   etcGracias a los últimos avances en el desarrollo de las tecnologías de red actualmente ya se pueden ver las redes inalámbricas como entesindependientes entre los sistemas de redes Entes que a su vez ofrecenalgunas ventajas con respecto a las redes cableadas  como por ejemplo subajo costo y facilidad de implementación  y por supuesto  la movilidad Unade las motivaciones que lleva a la investigación en el ámbito de las redesinalámbricas es la búsqueda de ofrecer mayor capacidad de servicio Dentrode estos servicios se pueden mencionar los servicios multimedia Como sunombre lo indica  multimedia implica la integración de diferentes medios deinformación  como audio  vídeo  imágenes y texto  así su uso enriquece elcontenido de la información llega a los usuarios  Durante la evolución dela redes inalámbricas diversas tecnologías de comunicación han sidodesarrolladas  una de ellas es Bluetooth Bluetooth es una tecnología decomunicación de área personal WPAN  Wireless Personal Area Network  conárea de cobertura de hasta 10 mts aproximadamente a velocidades de 1MbpsEl presente Trabajo Especial de Grado busca proveer información acerca deldesempeño de Bluetooth como tecnología de red inalámbrica utilizada paraofrecer servicios multimedia  haciendo uso de los métodos actuales para lacodificación de este contenido y los protocolos de transporte adecuadospara mejorar la calidad del servicio,,TRABAJO ESPECIAL DE GRADO (TECNOLOGIAS EN COMUNICACIONES Y REDES DECOMPUTADORAS)
128,Implantación del protocolo de enrutamiento AODV en Windows CE 50,En este tra bajo se presenta la implantación del protocolo de enrutamientoAODV (Vector Distancia bajo demanda Ad hoc) en el sistema operativo WindowsCE 50 Se describe la arquitectura del manejador del protocolo  junto conlos mecanismos que se diseñaron para poder implantar el protocolo en elsistema operativo en cuestión Por otra parte se explica el escenarioplanteado para la realización de las pruebas que posteriormente dan la basepara el análisis del funcionamiento del manejador de protocolo expuestoLas pruebas realizadas demostraron que la implantación del protocolomanipuló y manejó correctamente los mensajes de control intercambiadosentre los nodos  permitiendo la creación de rutas en la red  que a su vez proporcionaron una comunicación efectiva entre los nodos del escenario deprueba,,TRABAJO ESPECIAL DE GRADO (TECNOLOGIAS EN COMUNICACIONES Y REDES DECOMPUTADORAS)
129,Análisis  Diseño y Desarrollo de un Soporte Didáctico  utilizandoDispositivos PDA y el Protocolo de Comunicación Bluetooth,Los Asistentes Digitales Personales (PDA) son pequeños computadoresportátiles con los que se interactúa a través de un dispositivo especialsimilar a un lápiz (stylus) y que usualmente cuentan con facilidades decomunicación  en particular inalámbricas Una de éstas es Bluetooth  que esuna tecnología de comunicación que proporciona comunicación entredispositivos vía radio frecuencias en un área de alrededor de los 10metros Este trabajo se basa en el análisis  diseño y desarrollo de unsoporte didáctico  desarrollado para niños en edades comprendidas entre 7y 8 años y los resultados de su utilización El soporte incorpora lacomunicación inalámbrica vía Bluetooth  ésta se realiza entre el docente ylos alumnos El soporte didáctico fue diseñado en base a actividades quecorresponden al Currículo Venezolano de Educación Básica y que seencuentran enmarcadas en las siguientes áreas del saber: matemáticas comprensión lectora e inglés Hasta donde sabemos  esta es la primeraherramienta de soporte didáctico para PDA que incorpora el uso de Bluetoothdesarrollada en el país Los resultados muestran que es posible integrarlos PDA a la educación  acortando la brecha con las nuevas tecnologíasinformáticas  brindando motivación y nuevas experiencias que permitenfortalecer el aprendizaje como apoyo a las actividades tradicionales,,TRABAJO ESPECIAL DE GRADO (TECNOLOGIAS EN COMUNICACIONES Y REDES DECOMPUTADORAS)
130,Diseño de la Red Inalámbrica de la Facultad de Ciencias de la UniversidadCentral de Venezuela,El presente trabajo especial de grado tiene como objetivo la realizacióndel diseño de red inalámbrica basada en el protocolo 80211 para laFacultad de Ciencias de la Universidad Central de Venezuela El desarrollode diseños de redes inalámbricas surge con el propósito de evitar eldespliegue no planificado de las mismas  cuyas consecuencias podríanafectar y comprometer los recursos y la seguridad de los dispositivosinformáticos de la institución u organización Adicionalmente laelaboración de mismos permite la supervivencia de la red en el tiempo ygarantizar la calidad del servicio En función de lo antes expuesto seelaboró una propuesta de diseño de red inalámbrica para la Facultad deCiencias de la Universidad Central de Venezuela  la cual sigue un conjuntode lineamientos que garantizan la buena ejecución del mismo,,TRABAJO ESPECIAL DE GRADO (TECNOLOGIAS EN COMUNICACIONES Y REDES DECOMPUTADORAS)
131,Diseño e Implementación de un Punto de Acceso Inalámbrico bajo el EstándarIEEE 80211b,En el marco actual donde se desenvuelven los mercados de las tecnologíasde la información y las comunicaciones  se desprende como el rasgo máscaracterístico la constante innovación tecnológica Este impulso innovadorse traduce en el surgimiento y desarrollo de nuevas tecnologías  donde sedestacan  entre las más importantes  las redes de área local inalámbricas(WLAN  Wireless Local Area Network) Hasta hace relativamente poco tiempo las WLANs eran poco usadas debido a la baja velocidad de transmisión inconvenientes de seguridad  alto costo de los dispositivos que conformanlas WLAN (ej puntos de acceso)  y necesidades de licencia Sin embargo muchas de esas barreras que han inhibido el crecimiento de la tecnologíainalámbrica están siendo resueltas y se están superando las cuestiones quegiraron alrededor de la estandarización  logrando de esta manera que lasWLAN alcancen un nivel alto de popularidad El crecimiento de estatecnología ha despertado un gran interés dentro del mercado de lastelecomunicaciones La mayoría de los fabricantes encargados de laproducción de dispositivos para tecnologías inalámbricas han desarrolladodiferentes propuestas basadas en el estándar 80211 con el objetivo decubrir un amplio rango de necesidades dentro del ámbito inalámbrico Losclientes se benefician de éste estándar ya que no están atados a lasolución de un solo fabricante  pueden comprar puntos de acceso y tarjetasadaptadoras de red inalámbricas de diferentes fabricantes y confiar en quetrabajarán conjuntamente de forma exitosa Entre los diferentesdispositivos que conforman la WLAN  sin duda alguna   los puntos de accesoson los de mayor importancia   ya que  estos dispositivos son losencargados de canalizar las comunicaciones de la red tanto en el segmentoinalámbrico  como hacia/desde el segmento LAN cableado Los puntos deacceso también contribuyen de forma sustancial con el crecimientotecnológico dentro del área de la comunicación  ofreciendo a los usuariosfinales un alto nivel de disponibilidad para el acceso a la red de datos yde esta manera aumentar el desempeño en el entorno de trabajo No obstante los fabricantes de puntos de acceso limitan las funcionalidades de estosdispositivos dependiendo del costo asociado  obligando a los clientes apagar un alto costo para adquirir un punto de acceso con funcionalidadesadicionales que se adapte a sus necesidades Las soluciones a las redesinalámbricas están disponibles hoy en día y es sólo el principio de unatendencia creciente Los desarrolladores de estándares para  tecnologías decomunicación  en particular el grupo de trabajo encargado del  estándar80211  prometen un gran ancho de banda para permitir un sinfín de nuevasaplicaciones Aunque todavía existen varios obstáculos que hay que vencercomo la seguridad e interferencia  las WLAN ofrecen por lo pronto unacomunicación eficiente tanto en interiores como exteriores,, TRABAJO ESPECIAL DE GRADO (TECNOLOGIAS EN COMUNICACIONES Y REDES DECOMPUTADORAS)
132,Diseño e Implementación de un Punto de Acceso Informativo InalámbricoUsando IrDA y Bluetooth,Las telecomunicaciones en general y en especial las redes han evolucionadomucho a lo largo de los años  pasando de las conexiones coaxiales que eraninestables y lentas (10 Megabits por segundo) hasta las conexiones concables UTP (Unshielded Twisted Pair  Cable de Par Trenzado sin Apantallar)que alcanzan actualmente 10 Gigabits por segundo Sin embargo  la inquietudde los usuarios ha llegado más allá de la velocidad y esto ha llevado alintercambio de datos de manera inalámbrica  desde cualquier lugar y encualquier momento  comenzando en un principio con una tecnología muyeconómica y fácil de integrar en dispositivos ocupando muy poco espacio como lo es la radiación infrarroja Esta tecnología que se conoce comoIrDA  ofrece velocidades de hasta 16Mbps (100Mbps en desarrollo) y unadistancia promedio entre los dispositivos de 1 metro Dicha tecnologíatiene como limitantes que la línea de vista que debe existir entre losdispositivos a conectar no puede tener obstáculos y está concebido aunqueno limitado a conexiones punto a punto Más recientemente se han integradoen teléfonos celulares  laptops y PDAs (Personal Digital Asistant Asistente Personal Digital)  tecnologías de interconexión inalámbrica quevienen a complementar las deficiencias dejadas por IrDA  como los sonBluetooth y más recientemente WIFI Estas tecnologías ofrecen mayoresdistancias y la posibilidad de traspasar ciertos obstáculos  aunque en elcaso de Bluetooth la velocidad es menor que la de IrDA  pudiendo alcanzarhasta 721Kbps pero ofreciendo mayores distancias atravesando inclusoparedes  eliminando así la limitante de la línea de vista directa yconcibiendo conexiones tanto punto a punto como punto multipunto Estetrabajo se basa en el análisis  diseño y desarrollo de una aplicacióndenominada Punto de Acceso Informativo  la cual proporciona una serie deservicios que permiten el acceso inalámbrico a información diversa talcomo: notas  códigos de materias  intercambio de mensajes  entre otros dentro de la Facultad de Ciencias de la Universidad Central de Venezuela  através del uso de las tecnologías IrDA y Bluetooth,,TRABAJO ESPECIAL DE GRADO (TECNOLOGIAS EN COMUNICACIONES Y REDES DECOMPUTADORAS)
133,Diseño y automatización del proceso para el Manejo de la Disponibilidad delos servicios tecnológicos del Banco Mercantil  según ITIL,Debido a la necesidad existente en algunas organizaciones de alinear latecnología con las actividades del negocio  se ha pasado de un enfoquetécnico  que abarca solo la posibilidad de mantener operativos loscomponentes tecnológicos  a un enfoque de gestión de servicios  en el cualse considera el hecho de que un servicio tecnológico es un conjunto decomponentes que se asocian con el fin de satisfacer alguna necesidad delnegocio Por lo tanto si la entrega de estos servicios es satisfactoria lasactividades del negocio aumentarán su calidad En el Banco Mercantil se handado cuenta de esta necesidad y seleccionaron el método ITIL con el finencontrar lineamientos efectivos para realizar dicha entrega de serviciosITIL es un estándar para la definición de todos los procesos relacionadoscon la administración de TI Uno de estos procesos es el Manejo deDisponibilidad que contribuye con la entrega efectiva de los serviciostecnológicos La finalidad del presente Trabajo Especial de Grado  consisteen diseñar un proceso basado en los lineamientos de ITIL que permita llevara cabo el Manejo de Disponibilidad de los servicios tecnológicos del BancoMercantil,,TRABAJO ESPECIAL DE GRADO (TECNOLOGIAS EN COMUNICACIONES Y REDES DECOMPUTADORAS)
134,Análisis del Establecimiento de la Conexión Bandabase en Implementacionesde Diversos Fabricantes de Dispositivos Bluetooth,En el presente trabajo de investigación  se realiza un análisis delestablecimiento de la conexión del protocolo Bandabase en implementacionesde diversos fabricantes de dispositivos Bluetooth  basado en el resultadode varias pruebas de conexión  realizadas con un analizador de tráfico detramas de datos (Sniffer) de dispositivos Bluetooth Se hizo un estudiorelacionado a la teoría del protocolo de conexión Bandabase de Bluetooth centrado en los diagramas de estados generados durante el acoplamiento delos de dos dispositivos y las capas lógicas sobre las que trabajanBluetooth Una vez reconocidos todos los estados y las capas lógicas  seescogió un grupo de dispositivos Bluetooth de diversos fabricantes comoNokia  Sony Ericsson  Palm  Blackberry entre los más reconocidos  pararealizar pruebas Se busco un Sniffer (HCIDUMP) que fuera gratis  y quepermitiera realizar las capturas de las tramas transmitidas por losdispositivos Bluetooth El Sniffer encontrado  captura las tramas a niveldel Interfaz de Control de Host HCI (Host Controller Interface) que es unainterfaz que permite comunicar el controlador de Host para puerto USB  BUSSerial Universal USB (Universal Serial BUS) con el Sistema Operativo  lascapturas del mismo son reveladas en formato Hexadecimal Por último sebusco un intérprete de paquetes de nivel más alto (WIRESHARK) quepermitiera identificar mejor los paquetes obtenidos en formato Hexadecimalpor el Sniffer hcidump a código ascii,,TRABAJO ESPECIAL DE GRADO (TECNOLOGIAS EN COMUNICACIONES Y REDES DECOMPUTADORAS)
135,Integración de las tecnologías IEEE 80211b (WLAN) y CDMA 1xRTT (WWAN)mediante el Protocolo IP Móvil,Una de las necesidades que presentan los usuarios de hoy en día quemanejan dispositivos móviles  aparte del servicio de voz  son lastransmisiones de datos Estas necesidades se han visto beneficiadas através del uso de las redes inalámbricas  ya que permiten acceder a losdatos desde cualquier localidad Frente a estas necesidades  las compañíasde telecomunicaciones realizan investigaciones desde hace mucho tiempo conel fin de proveer soluciones que habiliten a los usuarios para acceder aInternet con la misma cobertura de espectro disperso como los servicios devoz de hoy en día Para acceder a los datos mediante una gran variedad dedispositivos móviles sin importar el lugar ni el momento  se utilizan lasredes inalámbricas Para esta investigación se trataron en específico lasredes de Area Local Inalámbricas (WLAN)  específicamente la tecnología IEEE80211b y las redes de Area Amplia Inalámbricas (WWAN)  entre las quedestacan las redes celulares con la tecnología específica CDMA 1xRTT Lastecnologías mencionadas anteriormente  tienen características particularesque inducen a integrar dichas plataformas para ofrecer mayor variedad deservicios con mayores prestaciones En esta investigación se tratará eltema relacionado a la integración de las tecnologías 80211b y CDMA 1xRTT utilizando el protocolo IP Móvil (IPv4) Cuyo objetivo fundamental esmigrar de una tecnología a la otra de forma transparente para el usuario sin perder conexión y manteniendo la misma dirección IP,,TRABAJO ESPECIAL DE GRADO (TECNOLOGIAS EN COMUNICACIONES Y REDES DECOMPUTADORAS)
136,Desarrollo de un Sistema de Monitoreo Maternal para la Transmisión deAudio y Video en Tiempo Real  utilizando las Tecnologías Inalámbricas WiFiy Bluetooth,Una de las consecuencias de la evolución tecnológica en los últimostiempos ha sido el incremento en la adquisición de herramientas contecnología vanguardista en los hogares  especialmente las herramientascomputacionales Ejemplo de este tipo de equipos hogareños son losMonitores de Bebés  que incorporan tecnología avanzada para llevar a cabodiversas funcionalidades con el fin de ayudar a los padres en el cuidado yvigilancia de su bebé Sin embargo  esta tecnología incorporada a losmonitores de bebés incrementa los costos asociados al producto final  porlo pueden ser una opción poco rentable al momento de adquirirlos Por otraparte  el gran desarrollo que ha tenido el área de las comunicaciones hapermitido  entre otras cosas  el impulso de las redes inalámbricas haciendo que ahora cuenten con mayor auge y aceptación en el ámbitotecnológico y en el mercado mundial Por todo lo mencionado anteriormente en este trabajo de investigación se propone el análisis  diseño ydesarrollo de un sistema de monitoreo maternal adecuado y versátil para elcuidado y vigilancia de los infantes  a partir de la reutilización y elaprovechamiento de las capacidades de los equipos computacionales ydispositivos multimedia  utilizando las tecnologías de comunicacióninalámbrica WiFi y Bluetooth  para la transmisión de audio y video entiempo real Este sistema concibe una idea innovadora por no existir unmonitor de bebé con estas características actualmente en el mercado  ya quepermite realizar la función de transmitir y recibir flujo de audio  video yaudiovideo  además de agregar en el dispositivo receptor la funcionalidadpara grabar y guardar el audio o video recibido Toda la información estransmitida en tiempo real con la finalidad de poder monitorear al niño encualquier lugar y momento de manera inmediata  lo que permite a los padresactuar de manera oportuna antes cualquier circunstancia  o simplementereforzar la vigilancia del bebé,,TRABAJO ESPECIAL DE GRADO (TECNOLOGIAS EN COMUNICACIONES Y REDES DECOMPUTADORAS)
